id;;;;;;;;;;;;;;;;;;;
colorNew;ГС;;;;m_8;;;;m_7;;;;m_38;;;;m_43;;
19;ЛДСП полка;565x435x16 мм;43985;0.39;LWWHWS(N);827;белая;;LWOWWS(N);827;дуб венге;;LWOKWS(N);Нет в наличии;дуб;;LWOKWS(N);Нет в наличии;дуб
20;Сеточная корзина;410x555x85 мм;0.75;33970;L9529WH(N);962;белая;;L9529GA(N);962;серая;;L9529BL(N);1061;черная;;L9529MG(N);1061;магнолия
21;Рама. 7 уровней;565x435x750 мм;34394;18.43;LWS7FWH(N);3267;белая;;LWS7FGA(N);3267;серая;;LWS7FBL(N);Нет в наличии;черная;;LWS7FMG(N);Нет в наличии;магнолия
22;Сеточная корзина;410x555x185 мм;0.95;44287;L9530WH(N);1155;белая;;L9530GA(N);1155;серая;;L9530BL(N);1270;черная;;L9530MG(N);1270;магнолия
23;Кронштейн для полки ;406 мм;0.42;0.04;L9240WH;341;белый;;L9240GA;341;серый;;L9240BL;374;черный;;L9240MG;374;магнолия
24;Сеточная полка;603x406 мм;43862;0.37;L9964WH;825;белая;;L9964GA;825;серая;;L9964BL;907;черная;;L9964MG;907;магнолия
25;Рама. 5 уровней;565x435x550 мм;20090;13.52;LWS5FWH(N);2871;белая;;LWS5FGA(N);2871;серая;;LWS5FBL(N);Нет в наличии;черная;;LWS5FMG(N);Нет в наличии;магнолия
30;Сеточная полка  ;903x306 мм;43922;0.41;L9993WH;935;белая;;L9993GA;935;серая;;L9993BL;Нет в наличии;черная;;L9993MG;Нет в наличии;магнолия
31;Корзина на трении;590x424x180 мм;42370;43955;L9540WH;1265;белая;;L9540GA;1265;серая;;L9540BL;Нет в наличии;черная;;L9540MG;Нет в наличии;магнолия
32;Кронштейн для полки;306 мм;0.26;0.02;L9230WH;192;белый;;L9230GA;192;серый;;L9230BL;214;черный;;L9230MG;214;магнолия
33;Двусторонний кронштейн;603x406 мм;0.78;0.11;L9350WH;907;белый;;L9350GA;907;серый;;L9350BL;Нет в наличии;черный;;L9350MG;Нет в наличии;магнолия
34;Кронштейны для корзин;603x406 мм;14246;0.08;L9340WH;1315;белые;;L9340GA;1315;серые;;L9340BL;Нет в наличии;черные;;L9340MG;Нет в наличии;магнолия
35;Сеточная полка;1203x406 мм;14277;0.73;L99124WH;1650;белая;;L99124GA;1650;серая;;L99124BL;1815;черная;;L99124MG;1815;магнолия
36;Торцевые заглушки;2 штуки в комплекте;0.02;;L9702CH;154;хром;;L9702CH;154;хром;;L9702CH;154;хром;;L9702CH;154;хром
38;Крон. для перекладины;25 мм;0.05;0.01;L9701WH;55;белый;;L9701GA;55;серый;;L9701BL;60;черный;;L9701MG;60;магнолия
39;Перфопанель;585x155 мм;43101;;L99G64WH;825;белая;;L99G64GA;825;серая;;L99G64BL;907;черная;;L99G64MG;Нет в наличии;магнолия
40;Кронштейн для ЛДСП;130 мм;0.2;0.02;L9096WH;550;белый;;L9096GA;550;серый;;L9096BL;605;черный;;L9096MG;605;магнолия
41;ЛДСП полка;585x406x16 мм;;0.38;LWWH406;827;белая;;LWOW406;827;дуб венге;;LWOK406;827;дуб;;LWOK406;827;дуб
42;Сеточная полка;603x306 мм;0.94;0.28;L9963WH;715;белая;;L9963GA;715;серая;;L9963BL;786;черная;;L9963MG;786;магнолия
43;Сеточная полка ;1203x306 мм;2;0.55;L99123WH;1375;белая;;L99123GA;1375;серая;;L99123BL;1512;черная;;L99123MG;Нет в наличии;магнолия
44;Сеточная полка ;903x406 мм;29952;0.55;L9994WH;1100;белая;;L9994GA;1100;серая;;L9994BL;1210;черная;;L9994MG;1210;магнолия
46;Рельс для крепления стойки ;1000 мм;0.82;0.05;L9810WH;495;белый;;L9810GA;495;серый;;L9810BL;550;черный;;L9810MG;550;магнолия
47;Стойка;1156 мм;43891;0.07;L9111WH;638;белая;;L9111GA;638;серая;;L9111BL;704;черная;;L9111MG;704;магнолия
48;стойка;1506 мм;11324;0.09;L9115WH;825;белая;;L9115GA;825;серая;;L9115BL;907;черная;;L9115MG;907;магнолия
49;Стойка;1955 мм;24473;0.11;L9120WH;874;белая;;L9120GA;874;серая;;L9120BL;962;черная;;L9120MG;962;магнолия
50;Рельс для крепления стойки ;1560 мм;47119;0.07;L9821WH;715;белый;;L9821GA;715;серый;;L9821BL;786;черный;;L9821MG;786;магнолия
51;Полка-корзина;604x406x118 мм;42005;32540;L9549WH;1265;белая;;L9549GA;1265;серая;;L9549BL;1391;черная;;L9549MG;1391;магнолия
52;Полка-корзина;904x406x118 мм;23012;12145;L9550WH;1595;белая;;L9550GA;1595;серая;;L9550BL;1754;черная;;L9550MG;1754;магнолия
53;Метал. полка;595x420 мм;14277;;L99S64WH;1540;белая;;L99S64GA;1540;серая;;L99S64BL;1694;черная;;L99S64MG;1694;магнолия
54;Брючница;597x425 мм;13940;;L9602WH;2860;белая;;L9602GA;2860;серая;;L9602BL;3190;черная;;L9602MG;3190;магнолия
55;Выдвижная рама;597x425 мм;24139;;L9601WH;2420;белая;;L9601GA;2420;серая;;L9601BL;2640;черная;;L9601MG;2640;магнолия
56;Полка для обуви;603x306x80 мм;;17533;L9438WH;1017;белая;;L9438GA;1017;серая;;L9438BL;1122;черная;;L9438MG;Нет в наличии;магнолия
57;Полка-корзина;604x306x118 мм;;43132;L9547WH;1100;белая;;L9547GA;1102;серая;;L9547BL;Нет в наличии;черная;;L9547MG;1210;магнолия
58;Перфопанель;890x155 мм;27760;;L99G94WH;1127;белая;;L99G94GA;1127;серая;;L99G94BL;1243;черная;;L99G94MG;Нет в наличии;магнолия
59;Сет. корзина;555x410x85 мм;0.75;33970;L9529WH(N);962;белая;;L9529GA(N);962;серая;;L9529BL(N);1061;черная;;L9529MG(N);1061;магнолия
60;Сет. корзина;555x410x185 мм;0.95;44287;L9530WH(N);1155;белая;;L9530GA(N);1155;серая;;L9530BL(N);1270;черная;;L9530MG(N);1270;магнолия
61;Метал. полка;595x320 мм;33970;;L99S63WH;1265;белая;;L99S63GA;1265;серая;;L99S63BL;Нет в наличии;черная;;L99S63MG;Нет в наличии;магнолия
64;ЛДСП полка;585x306x16 мм;;0.29;LWWH306;676;белая;;LWOW306;676;дуб венге;;LWOK306;Нет в наличии;дуб;;LWOK306;Нет в наличии;дуб
65;Разделитель;114х10х403 мм;0.12;0.05;L9715;275;белый;;L9715;275;белый;;L9715;275;белый;;L9715;275;белый
66;Крючок. 3 шт;110x40x68 мм;0.11;0.03;LWHK005;269;стальные;;LWHK005;269;стальные;;LWHK005;269;стальные;;LWHK005;269;стальные
67;Крючок. 5 шт;40x50x4 мм;0.05;0;LWHK004;150;стальные;;LWHK004;150;стальные;;LWHK004;150;стальные;;LWHK004;150;стальные
68;Крючок. 5 шт;37х8х14 мм;0.42;0;LWHK003;188;стальные;;LWHK003;188;стальные;;LWHK003;188;стальные;;LWHK003;188;стальные
69;Крючок. 5 шт;125 мм;0.26;;LWHK002;469;стальные;;LWHK002;469;стальные;;LWHK002;469;стальные;;LWHK002;469;стальные
70;Крючок. 5 шт;125 мм;0.15;;LWHK001;269;стальные;;LWHK001;269;стальные;;LWHK001;269;стальные;;LWHK001;269;стальные
71;Крючок;199х49х43 мм;0.06;0.04;LWHK006;225;стальной;;LWHK006;225;стальной;;LWHK006;225;стальной;;LWHK006;225;стальной
81;Перекладина;2000 мм;0.88;0.13;L62R25CH200;550;хром;;L62R25CH200;550;хром;;L62R25CH200;550;хром;;L62R25CH200;550;хром
82;Перекладина;1240 мм;0.54;0.08;L62R25CH124;374;хром;;L62R25CH124;374;хром;;L62R25CH124;374;хром;;L62R25CH124;374;хром
83;Перекладина;940 мм;0.42;0.06;L62R25CH94;275;хром;;L62R25CH94;275;хром;;L62R25CH94;275;хром;;L62R25CH94;275;хром
84;Перекладина;640 мм;0.28;0.04;L62R25CH64;203;хром;;L62R25CH64;203;хром;;L62R25CH64;203;хром;;L62R25CH64;203;хром
86;Мелкосет. корзина;555x410x185 мм;12420;44287;L9560WH(N);1677;белая;;L9560GA(N);1677;серая;;L9560BL(N);1848;черная;;L9560MG(N);1848;магнолия
87;Мелкосет. корзина;555x410x85 мм;43862;33970;L9559WH(N);1298;белая;;L9559GA(N);1298;серая;;L9559BL(N);1430;черная;;L9559MG(N);1430;магнолия
88;Полка для обуви;603x404 мм;11324;;L9442WH;1298;белая;;L9442GA;1298;серая;;L9442BL;1430;черная;;L9442MG;1430;магнолия
89;Полка для обуви;903x404 мм;43832;;L9443WH;1760;белая;;L9443GA;1760;серая;;L9443BL;Нет в наличии;черная;;L9443MG;Нет в наличии;магнолия
90;Выдвижная;410x555 мм;43922;;L9444WH;1408;белая;;L9444GA;1375;серая;;L9444BL;1540;черная;;L9444MG;1540;магнолия
93;Мелкосет. корзина;555x410x85 мм;43862;33970;L9559WH(N);1298;белая;;L9559GA(N);1298;серая;;L9559BL(N);1430;черная;;L9559MG(N);1430;магнолия
95;Корзина на трении;590x424x100 мм;0.95;43953;L9539WH;1045;белая;;L9539GA;1045;серая;;L9539BL;Нет в наличии;черная;;L9539MG;Нет в наличии;магнолия
96;Соединитель для перекладины;38x27x27 мм;0.03;0;L9703;121;черный;;L9703;121;черный;;L9703;121;черный;;L9703;121;магнолия
98;Рама. 3 уровня;565x435x350 мм;44958;43990;LWS3FWH(N);2277;белая;;LWS3FGA(N);2277;серая;;LWS3FBL(N);Нет в наличии;черная;;LWS3FMG(N);Нет в наличии;магнолия
100;Мелкосет. корзина;555x410x185 мм;12420;44287;L9560WH(N);1677;белая;;L9560GA(N);1677;серая;;L9560BL(N);1848;черная;;L9560MG(N);1848;магнолия
107;Крепление для ЛДСП полки;80x70x15;0.05;0.01;L9706WH;250;белое;;L9706GA;250;серое;;L9706BL;Нет в наличии;черное;;L9706MG;Нет в наличии;магнолия
108;Декоративная заглушка;421x17x8 мм;0.07;0.01;L6176WH;220;белая;;L6176GA;242;серая;;L6176BL;242;черная;;L6176MG;Нет в наличии;магнолия
109;Декоративная заглушка;321x17x8 мм;0.05;0;L6175WH;198;белая;;L6175GA;198;серая;;L6175BL;275;черная;;L6175MG;Нет в наличии;магнолия
110;Ограничители для корзин;30x37x12 мм;0.02;0;L6172;182;красный;;L6172;182;красный;;L6172;182;красный;;L6172;182;красный
166;Соединители для стойки;113х13х12 мм;0.07;0;L9711WH;148;белый;;L9711GA;148;серый;;L9711BL;165;черный;;L9711MG;165;магнолия
214;Мелкосетчатая полка;590х420х15 мм;43831;0.04;L99M64WH;1402;белая;;L99M64GA;1402;серая;;L99M64BL;1540;черная;;L99M64MG;1540;магнолия
215;Мелкосетчатая полка;890х420х15 мм;20090;0.06;L99M94WH;1738;белая;;L99M94GA;1738;серая;;L99M94BL;1914;черная;;L99M94MG;1914;магнолия
238;Держатель для перекладины;293 мм;200;0,1;L9231WH;467;белый;;L9231GA;467;серый;;L9231BL;517;черный;;L9231MG;517;магнолия
242;Боковой ограничитель;190x105 мм;200;0,1;L9717WH;231;белый;;L9717GA;231;серый;;L9717BL;254;черный;;L9717MG;Нет в наличии;магнолия
243;Разделитель для сет. полки;400 мм;200;0,1;L9713-400WH;308;белый;;L9713-400GA;308;серый;;L9713-400BL;341;черный;;L9713-400MG;341;магнолия
244;Разделитель для сет. полки;300 мм;200;0,1;L9713-300WH;297;белый;;L9713-300GA;297;серый;;L9713-300BL;330;черный;;L9713-300MG;Нет в наличии;магнолия
246;Поперечная штанга;400 мм;200;0,1;L9707CH-400;438;хром;;L9707CH-400;438;хром;;L9707CH-400;438;хром;;L9707CH-400;438;хром
247;Поперечная штанга;300 мм;200;0,1;L9707CH-300;376;хром;;L9707CH-300;376;хром;;L9707CH-300;376;хром;;L9707CH-300;376;хром
235;Боковая вешалка;308 мм;200;0,1;L9718-300WH;495;белый;;L9718-300GA;495;серый;;L9718-300BL;544;черный;;L9718-300MG;Нет в наличии;магнолия
236;Боковая вешалка;408 мм;200;0,1;L9718-400WH;594;белый;;L9718-400GA;594;серый;;L9718-400BL;660;черный;;L9718-400MG;660;магнолия
177;Телескоп. направляющая;375 мм;200;0,1;L9603-400;550;сталь;;L9603-400;550;сталь;;L9603-400;550;сталь;;L9603-400;550;сталь
178;Пластиковые фиксаторы;20х26х20 мм;200;0,1;L9603HWH;121;белый;;L9603HGA;121;серый;;L9603HBL;137;черный;;L9603HMG;Нет в наличии;магнолия
12;Стойка;160 мм;200;0,1;L9102WH;165;белый;;L9102GA;165;серый;;L9102BL;181;черный;;L9102MG;Нет в наличии;магнолия
14;NOT USING;нужны для цвета;;;;0;0;0;0;0;0;0;0;0;0;;0;0;0
237;NOT USING;237;200;0,1;0;1111;белый;;0;1111;серый;;0;1111;черный;;0;1111;магнолия
248;NOT USING;248;200;0,1;0;1111;белый;;0;1111;серый;;0;1111;черный;;0;1111;магнолия
249;NOT USING;249;200;0,1;0;1111;белый;;0;1111;серый;;0;1111;черный;;0;1111;магнолия
colorNew;Шкафы ХОФФ;;;;m_40;;;;m_39;;;;;;;;;;
186;0;0;0;;0;0;0;;0;0;0;;;;;;;;
197;Корпус шкафа;500х2360х580 мм;1;1;БН.104.03.00.000;6158;белый;;80339004;6158;дуб Сонома;;;;;;;;
198;Корпус шкафа;750х2360х580 мм;1;1;БН.104.02.00.000;6598;белый;;80339007;6598;дуб Сонома;;;;;;;;
199;Корпус шкафа;1000х2360х580 мм;1;1;БН.104.01.00.000;7258;белый;;80339010;7258;дуб Сонома;;;;;;;;
209;0;0;1;1;0;0;0;;0;0;0;;;;;;;;
218;Полка ЛДСП;468x576x16 мм;1;1;80339030;350;белый;;80339031;350;дуб Сонома;;;;;;;;
219;Полка ЛДСП;718x576x16 мм;1;1;80339033;450;белый;;80350110;450;дуб Сонома;;;;;;;;
220;Полка ЛДСП;968x576x16 мм;1;1;80339036;600;белый;;80350113;600;дуб Сонома;;;;;;;;
212;Держатель для штанги;25 мм;1;1;no article;50;хром;;no article;50;хром;;;;;;;;
211;Перекладина;1240 мм;1;1;L62R25CH124;374;хром;;L62R25CH124;374;хром;;;;;;;;
;;;;;;;;;;;;;;;;;;;
264;Комплект: дверь 500 мм, петли, доводчики;500 мм;1;1;LDP50WH-104.25;4472;белый;;LDP50WH-104.25;4472;дуб Сонома;;;;;;;;
263;Комплект: дверь-рамка 500 мм, петли, доводчики;500 мм;1;1;LDF50WH-104.23;5682;белый;;LDF50WH-104.23;5682;дуб Сонома;;;;;;;;
262;Комплект: дверь 370 мм, петли, доводчики;370 мм;1;1;LDP37WH-104.26;3746;белый;;LDP37WH-104.26;3746;дуб Сонома;;;;;;;;
273;Комплект: дверь-рамка 370 мм, петли, доводчики;370 мм;1;1;LDF37WH-104.24;4956;белый;;LDF37WH-104.24;4956;дуб Сонома;;;;;;;;
264;Комплект: дверь 500 мм, петли, доводчики;500 мм;1;1;LDP50WH-104.25;4472;белый;;LDP50WH-104.25;4472;дуб Сонома;;;;;;;;
263;Комплект: дверь-рамка 500 мм, петли, доводчики;500 мм;1;1;LDF50WH-104.23;5682;белый;;LDF50WH-104.23;5682;дуб Сонома;;;;;;;;
272;Ручка-скоба, черная;;1;1;L4.005.128BL;130;черный;;L4.005.128BL;130;черный;;;;;;;;
271;Ручка-скоба, черная;;1;1;L4.006.128BL;228;черный;;L4.006.128BL;228;черный;;;;;;;;
270;Ручка-скоба, черная;;1;1;L4.008.128BL;130;черный;;L4.008.128BL;130;черный;;;;;;;;
269;Ручка-скоба, черная;;1;1;L4.009.128BL;132;черный;;L4.009.128BL;132;черный;;;;;;;;
268;Ручка-скоба, черная;;1;1;L4.010.128BL;243;черный;;L4.010.128BL;243;черный;;;;;;;;
266;Ручка Кноб, черная;;1;1;L4.knob05BL;84;черный;;L4.knob05BL;84;черный;;;;;;;;
265;Ручка Кноб, черная;;1;1;L4.knob06BL;84;черный;;L4.knob06BL;84;черный;;;;;;;;
;;;;;;;;;;;;;;;;;;;
colorNew;Наполнение;;;;m_8;;;;m_7;;;;;;;;;;
185;189/191/193 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
189;Проволочная полка;462x556 мм;1;1;L9955WH;889;белый;;L9955GA;889;серый;;;;;;;;
191;Проволочная полка;715x556 мм;1;1;L9975WH;1524;белый;;L9975GA;1524;серый;;;;;;;;
193;Проволочная полка;962x556 мм;1;1;L99105WH;1960;белый;;L99105GA;1960;серый;;;;;;;;
200;201/202/203 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
202;Проволочная корзина;393х555x185 мм;1;1;L95518WH;2395;белый;;L95518GA;2395;серый;;;;;;;;
203;Проволочная корзина;643х555x185 мм;1;1;L95718WH;3049;белый;;L95718GA;3049;серый;;;;;;;;
201;Проволочная корзина;893х555x185 мм;1;1;L951018WH;3920;белый;;L951018GA;3920;серый;;;;;;;;
187;Пласт. держ. для пров. полки;20x20x20 мм;1;1;L99HWH;218;белый;;L99HGA;218;серый;;;;;;;;
204;Телескопические направляющие;250x85x40 мм;1;1;L9603-550FE-WH;1960;белый;;L9603-550FE-GA;1960;серый;;;;;;;;
221;224/223/222 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
224;Проволочная корзина;393х555x85 мм;1;1;L95508WH;1633;белый;;L95508GA;1633;серый;;;;;;;;
223;Проволочная корзина;643х555x85 мм;1;1;L95708WH;2395;белый;;L95708GA;2395;серый;;;;;;;;
222;Проволочная корзина;893х555x85 мм;1;1;L951008WH;3267;белый;;L951008GA;3267;серый;;;;;;;;
225;228/227/226 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
228;Проволочная обувница;393х555x130 мм;1;1;L9455WH;1742;белый;;L9455GA;1742;серый;;;;;;;;
227;Проволочная обувница;643х555x130 мм;1;1;L9475WH;2395;белый;;L9475GA;2395;серый;;;;;;;;
226;Проволочная обувница;893х555x130 мм;1;1;L94105WH;2940;белый;;L94105GA;2940;серый;;;;;;;;
229;232/231/230 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
230;Сетчатая корзина;393х555x85 мм;1;1;L95M508WH;1960;белый;;L95M508GA;1960;серый;;;;;;;;
231;Сетчатая корзина;643х555x85 мм;1;1;L95M708WH;2722;белый;;L95M708GA;2722;серый;;;;;;;;
232;Сетчатая корзина;893х555x85 мм;1;1;L95M1008WH;3267;белый;;L95M1008GA;3267;серый;;;;;;;;
254;257/256/255 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
255;Сетчатая корзина;393х555x185 мм;1;1;L95M518WH;2613;белый;;L95M518GA;2613;серый;;;;;;;;
256;Сетчатая корзина;643х555x185 мм;1;1;L95M718WH;3267;белый;;L95M718GA;3267;серый;;;;;;;;
257;Сетчатая корзина;893х555x185 мм;1;1;L95M1018WH;4356;белый;;L95M1018GA;4356;серый;;;;;;;;
258;261/260/259 Хранитель;0;;;0;0;0;;0;0;0;;;;;;;;
259;Брючница;393х555 мм;1;1;L9655WH;1633;белый;;L9655GA;1633;серый;;;;;;;;
260;Брючница;643х555 мм;1;1;L9675WH;1978;белый;;L9675GA;1978;серый;;;;;;;;
261;Брючница;893х555 мм;1;1;L96105WH;2770;белый;;L96105GA;2770;серый;;;;;;;;
;;;;;;;;;;;;;;;;;;;
colorNew;Наполнение;;;;m_8;;;;m_9;;;;;;;;;;
277;Брючница;893х555 мм;1;1;L96105WH;2770;белый;;L96105GA;2770;серый;;;;;;;;
283;Брючница;893х555 мм;1;1;L96105WH;2770;белый;;L96105GA;2770;серый;;;;;;;;